dataset,trees,max_depth,min_samples,mtry,mean_test_acc,std_test_acc,min_test_acc,mean_train_acc,mean_train_s
sales_data,200,10,2,11,0.256,0.01907878402833892,0.22,0.99648,0.12046920000000001
sales_data,200,10,2,13,0.261,0.025961509971494337,0.215,0.99576,0.147943
sales_data,200,10,5,3,0.24500000000000002,0.03376388603226827,0.18,0.9942399999999999,0.0376426
sales_data,200,10,5,5,0.271,0.04340506882842141,0.19,0.9930200000000001,0.054218999999999996
sales_data,200,10,5,8,0.278,0.028390139133156782,0.24,0.99278,0.087094
sales_data,200,10,5,11,0.267,0.03414674215792774,0.21,0.9945,0.1189668
sales_data,200,10,5,13,0.269,0.035128336140500586,0.205,0.99472,0.133382
sales_data,200,16,2,3,0.24500000000000002,0.030495901363953817,0.185,1.0,0.0463874
sales_data,200,16,2,5,0.248,0.03776241517699841,0.195,1.0,0.0644874
sales_data,200,16,2,8,0.256,0.03382306905057553,0.205,1.0,0.0948636
sales_data,200,16,2,11,0.252,0.03982461550347975,0.185,1.0,0.1288064
sales_data,200,16,2,13,0.24500000000000002,0.027748873851023217,0.19,1.0,0.1593872
sales_data,200,16,5,3,0.25,0.03271085446759225,0.2,1.0,0.0389976
sales_data,200,16,5,5,0.271,0.026720778431774766,0.23,1.0,0.064494
sales_data,200,16,5,8,0.262,0.036687872655688285,0.195,1.0,0.1030498
sales_data,200,16,5,11,0.256,0.03666060555964672,0.195,1.0,0.1311754
sales_data,200,16,5,13,0.256,0.023537204591879638,0.215,1.0,0.163536
sales_data,200,24,2,3,0.26,0.025884358211089566,0.22,1.0,0.045332
sales_data,200,24,2,5,0.24300000000000002,0.03776241517699841,0.185,1.0,0.0629966
sales_data,200,24,2,8,0.24299999999999997,0.03749666651850535,0.175,1.0,0.1058318
sales_data,200,24,2,11,0.259,0.03597221149720989,0.2,1.0,0.1377756
sales_data,200,24,2,13,0.256,0.04115823125451336,0.185,1.0,0.1629864
sales_data,200,24,5,3,0.251,0.025573423705088857,0.205,1.0,0.0432732
sales_data,200,24,5,5,0.24,0.005477225575051666,0.235,1.0,0.0661816
sales_data,200,24,5,8,0.27599999999999997,0.038262252939417984,0.21,1.0,0.0978166
sales_data,200,24,5,11,0.261,0.0276405499221705,0.22,1.0,0.13929640000000001
sales_data,200,24,5,13,0.26,0.026645825188948456,0.21,1.0,0.1614766
sales_data,300,6,2,3,0.258,0.02181742422927143,0.235,0.72798,0.035595600000000005
sales_data,300,6,2,5,0.258,0.022271057451320086,0.235,0.73298,0.058647399999999995
sales_data,300,6,2,8,0.261,0.016852299546352714,0.24,0.73776,0.1045704
sales_data,300,6,2,11,0.26,0.020736441353327733,0.23,0.7555,0.1257082
sales_data,300,6,2,13,0.266,0.026532998322843195,0.235,0.75774,0.14075359999999998
